Abner,son,Abiel
Abraham,son,Thara
Adam,son,God
Aminadab,son,Aram
Booz,son,Salmon
Cainan,son,Arphaxad
Cainan,son,Enos
Christ,son,David
Christ,son,God
David,son,Bethlehemjudah
David,son,Jesse
Eli,son,Bel
Enoch,son,Jared
Enos,son,Seth
Isaac,son,Abraham
Jacob,son,Isaac
Janna,son,Joseph
Jesse,son,Obed
Joanna,son,Rhesa
Jonan,son,Eliakim
Joseph,son,Heli
Joseph,son,Juda
Jose,son,Eliezer
Joseph,son,Jonan
Juda,son,Joanna
Juda,son,Joseph
Juda,son,Jacob
Levi,son,Melchi
Levi,son,Simeon
Melchi,son,Janna
Naasson,son,Aminadab
Nathan,son,David
Neri,son,Melchi
Noe,son,Lamech
Obed,son,Booz
Phares,son,Juda
Rhesa,son,Zorobabel
Salathiel,son,Neri
Salmon,son,Naasson
Sarah,son,Hagar
Seth,son,Adam
Simeon,son,Juda
Zorobabel,son,Salathiel
Ham,father,Canaan
Kish,father,Saul
Maon,father,Bethzur
Mehir,father,Eshton
Judah,daughter,Canaan
